Tenor,Zero-Rate,Discount
0.019444444,3.71061,0.998882
0.038888889,3.7107,0.998172
0.083333333,3.70967,0.996449
0.166666667,3.64025,0.99334
0.25,3.57173,0.99065
0.333333333,3.51826,0.987928
0.416666667,3.45323,0.985163
0.5,3.39556,0.982663
0.583333333,3.33534,0.980456
0.666666667,3.25962,0.978009
0.75,3.19943,0.976012
0.833333333,3.13879,0.973861
0.916666667,3.07438,0.971768
1,3.02159,0.969915
1.5,2.75638,0.959099
2,2.5903,0.949244
3,2.41784,0.929787
4,2.34126,0.910192
5,2.30882,0.890635
6,2.30119,0.870762
7,2.30766,0.850567
8,2.32236,0.830132
9,2.34465,0.809447
10,2.37041,0.788549
11,2.39837,0.767758
12,2.42509,0.74716
15,2.48652,0.688352
20,2.46207,0.610779
25,2.36738,0.552947
30,2.26696,0.506226
40,2.09778,0.431747
50,1.93574,0.379548
