Tenor,Zero-Rate,Discount
0.019444444,5.40964,0.998371
0.038888889,5.41103,0.997335
0.058333333,5.41036,0.996301
0.083333333,5.41155,0.994824
0.166666667,5.33519,0.990254
0.25,5.27195,0.98623
0.333333333,5.19093,0.98224
0.416666667,5.10475,0.978145
0.5,5.02455,0.974452
0.583333333,4.94666,0.971151
0.666666667,4.85911,0.967395
0.75,4.78706,0.964323
0.833333333,4.706,0.961067
0.916666667,4.62713,0.957814
1,4.56044,0.954942
1.5,4.21753,0.9381
2,3.99281,0.922845
3,3.73432,0.893652
4,3.59975,0.865299
5,3.53547,0.837483
6,3.50953,0.809732
7,3.50037,0.782309
8,3.50231,0.755209
9,3.51024,0.728696
10,3.52249,0.702563
12,3.55559,0.652234
15,3.59738,0.582575
20,3.59809,0.486506
25,3.50383,0.416064
30,3.38964,0.361348
40,3.08725,0.290519
50,2.77249,0.24969
