date,USDGBP_OIS_3M,USDGBP_OIS_6M,USDGBP_OIS_9M,USDGBP_OIS_1Y,USDGBP_OIS_2Y,USDGBP_OIS_3Y,USDGBP_OIS_4Y,USDGBP_OIS_5Y,USDGBP_OIS_6Y,USDGBP_OIS_7Y,USDGBP_OIS_8Y,USDGBP_OIS_9Y,USDGBP_OIS_10Y,USDGBP_OIS_12Y,USDGBP_OIS_15Y,USDGBP_OIS_20Y,USDGBP_OIS_30Y
09/11/2021,-24.625,-17.3747,-13.5,-12.125,-11.75,-12.125,-13.125,-13.625,-13.75,-13.625,-13.625,-13.5,-13.5,-14,-14.625,-15.75,-13.125
10/11/2021,-26.375,-17.875,-14,-12.25,-11.625,-12,-12.75,-13.1251,-13.25,-13.125,-13,-12.75,-12.75,-13.25,-14,-15.25,-12.625
11/11/2021,-27.125,-18.75,-15.375,-12.5,-11.625,-11.75,-12.3751,-12.7501,-12.875,-12.75,-12.625,-12.5,-12.375,-12.875,-13.75,-14.875,-12.375
12/11/2021,-27.125,-18.375,-14.875,-13,-12,-12.125,-12.625,-12.875,-12.875,-12.75,-12.625,-12.5,-12.375,-12.875,-13.75,-15,-12.5
15/11/2021,-27.4986,-18.6243,-14.875,-13.25,-12,-12.125,-12.5,-12.75,-12.625,-12.5,-12.375,-12.125,-12.125,-12.625,-13.625,-15,-12.5
16/11/2021,-27.375,-18.5,-15.125,-13.125,-12.25,-12.125,-12.375,-12.375,-12.125,-11.875,-11.75,-11.5,-11.375,-11.875,-13,-14.375,-12
17/11/2021,-29.12505,-19.5,-15.75,-13.75,-12.125,-12.125,-12.25,-12.375,-12.125,-11.875,-11.625,-11.375,-11.25,-11.375,-12.125,-13.75,-11.25
18/11/2021,-30.125,-19.3959,-16,-13.375,-12.375,-12.125,-12.375,-12.5,-12.375,-12.125,-11.875,-11.5,-11.12495,-11.37495,-11.875,-13.5,-10.875
19/11/2021,-32.62415,-21.4996,-17.1247,-14.2497,-13.125,-12.75,-12.875,-13,-12.875,-12.625,-12.25,-11.75,-11.5,-11.75,-12.125,-13.5,-11.125
22/11/2021,-34.25,-22.25,-17.875,-15,-13.5,-12.875,-13,-13.125,-12.875,-12.5,-12.125,-11.75,-11.375,-11.5,-11.875,-13.125,-10.62505
23/11/2021,-36.25,-23.625,-18.5,-15.8753,-13.875,-13.125,-13,-13,-12.75,-12.375,-12.125,-11.75,-11.25,-11.25,-11.375,-12,-9.3753
24/11/2021,-36.1227,-23.1227,-18.2496,-15.6236,-13.75,-13.125,-13,-13,-12.625,-12,-11.625,-11.25,-10.875,-10.625,-10.375,-10.75,-8.0251
25/11/2021,-36.8714,-23.2496,-17.75,-15.5,-13.6251,-13,-12.875,-12.875,-12.5,-11.875,-11.5,-11.125,-10.75,-10.5,-10.25,-10.625,-7.7499
26/11/2021,-37.625,-23.375,-18.5,-15.8749,-13.625,-13,-12.875,-12.875,-12.5,-11.875,-11.375,-11,-10.625,-10.25,-9.87485,-10.125,-7.25
29/11/2021,-38.25,-23.3746,-18.375,-15.875,-13.25,-12.625,-12.5,-12.375,-11.875,-11.25,-10.75,-10.375,-9.875,-9.625,-9.125,-9,-5.5
30/11/2021,-41,-23.75,-18.625,-16,-13.5,-12.875,-12.75,-12.5,-12.125,-11.375,-10.75,-10.25005,-10,-9.5,-9.125,-9,-5.5
01/12/2021,-39.5,-22.875,-17.875,-15.25,-13.125,-12.25,-12.375,-12.125,-11.75,-11.125,-10.75,-10.375,-10,-9.75,-9.37505,-9.375,-5.75
02/12/2021,-33.125,-20.375,-16,-13.5003,-11.875,-11.25,-11.375,-11.25,-10.875,-10.375,-10,-9.75,-9.375,-9.25,-8.875,-8.875,-5
03/12/2021,-29.625,-18.875,-14.625,-12.5,-11.12495,-10.75,-10.875,-10.75,-10.375,-9.875,-9.5,-9.12495,-8.875,-8.75,-8.375,-8.375,-4.5
06/12/2021,-32.25,-19.75,-15.125,-12.875,-11.375,-10.875,-11,-10.75005,-10.375,-9.74995,-9.375,-9.125,-9,-8.75,-8.5,-8.375,-4.25
07/12/2021,-32.49815,-20.4991,-15.75,-13.25,-11.875,-11.5,-11.625,-11.6249,-11.25,-10.625,-10.125,-9.75,-9.62495,-9.37495,-9.125,-9.125,-4.625
08/12/2021,-27.875,-18,-14.75,-13.125,-11.75,-11.62,-11.75,-11.75,-11.5,-10.875,-10.375,-10.125,-10,-9.75005,-9.625,-9.875,-5.625
09/12/2021,-25.125,-16.875,-13.625,-12.375,-11.75,-11.75,-11.875,-11.875,-11.375,-10.875,-10.625,-10.25,-10.125,-10,-10.0001,-10.25015,-6.375
10/12/2021,-26.625,-17.25,-13.75,-12.625,-12.25,-12.75,-13.25,-13.5,-13,-12.375,-12,-11.625,-11.5,-11.5,-11.625,-12.125,-8.1249
13/12/2021,-29.25,-18.5,-14.875,-13.25,-12.75,-13.495,-14,-14.25,-13.75,-13.125,-12.625,-12.375,-12.125,-12,-12.25,-12.625,-8.5
14/12/2021,-29,-18.375,-14.25,-12.5,-12.375,-13.125,-13.75,-14.125,-13.75,-13,-12.5,-12.25,-12,-12,-12.25,-12.625,-8.25
15/12/2021,-29.2492,-18.3746,-13.9997,-12.8746,-12.25,-12.9999,-13.75,-14.125,-13.875,-13,-12.625,-12.375,-12.125,-12.25,-12.75,-13.375,-9.125
16/12/2021,-27.8743,-18,-14.25,-12.75,-12.125,-12.75,-13.5,-13.875,-13.625,-12.75,-12.375,-12.125,-11.875,-12.125,-12.5,-13.125,-9
17/12/2021,-24.625,-16.125,-12.5001,-12.125,-11.625,-12.5,-13.375,-13.75,-13.5,-12.75,-12.25,-12,-11.875,-12.125,-12.5,-13.125,-9.1251
20/12/2021,-15.5,-11.8746,-10.5,-10.5,-10.875,-12.125,-13.1251,-13.5001,-13.2501,-12.5001,-12.125,-11.875,-11.7501,-12.0001,-12.5001,-13.2501,-9.25
21/12/2021,-13.625,-10.625,-9.6248,-9.5,-10.625,-11.875,-12.875,-13.125,-13.125,-12.5,-12,-11.875,-11.875,-12.125,-12.625,-13.25,-9.25
22/12/2021,-16.125,-11.75,-10,-9.875,-10.75,-12,-13,-13.375,-13.25,-12.75,-12.375,-12.125,-12.125,-12.375,-13.125,-13.875,-9.625
23/12/2021,-15.5,-11.25,-10,-10.125,-11,-12.25,-13.25,-13.625,-13.5,-13,-12.625,-12.375,-12.375,-12.625,-13.125,-14,-10.25
24/12/2021,-16,-11.625,-10.125,-10.25,-11,-12.25,-13.25,-13.625,-13.5,-13,-12.625,-12.375,-12.375,-12.5,-13.125,-14,-10.25
27/12/2021,-16,-11.5,-10,-10.00005,-11.00005,-12.25,-13.25,-13.625,-13.5,-13,-12.625,-12.375,-12.375,-12.625,-13.25,-14.125,-10.25005
28/12/2021,-15.99995,-11.5,-10,-10,-11,-12.25,-13.25,-13.625,-13.5,-13,-12.625,-12.375,-12.375,-12.625,-13.125,-14,-10.25
29/12/2021,-15.125,-11.125,-9.625,-9.625,-10.75,-12.125,-13.25,-13.625,-13.5,-13,-12.625,-12.375,-12.375,-12.5,-13.125,-14,-10
30/12/2021,-10,-8.5,-8.375,-10.5,-10.75,-12,-13.375,-13.75,-13.625,-13.125,-12.75,-12.5,-12.25,-12.5,-13.125,-14,-10
31/12/2021,-10.125,-8.625,-8.375,-10.5,-10.75,-12.125,-13.25,-13.625,-13.5,-13,-12.625,-12.375,-12.25,-12.375,-13.125,-14,-10
03/01/2022,-9.5,-7.875,-7.75,-10.49995,-10.74995,-12.125,-13.375,-13.625,-13.5,-13,-12.625,-12.5,-12.25,-12.375,-13.125,-14,-9.99995
04/01/2022,-8.125,-7.625,-7.625,-9.625,-10.125,-11.625,-13,-13.625,-13.125,-12.75,-12.375,-12.12505,-11.875,-12,-12.75,-13.5001,-10.125
05/01/2022,-8.125,-8,-8,-9.625,-10.375,-11.875,-13.25,-14,-13.875,-13.625,-13.25,-13,-12.75,-12.5,-13.125,-13.625,-10.125
06/01/2022,-8.75,-8.125,-8.24995,-10.25,-10.625,-12.125,-13.5,-14.25,-14,-13.75,-13.375,-13,-12.75,-12.5,-13,-13.5,-9.875
07/01/2022,-11.625,-10.375,-10.5,-12.625,-11.75,-12.75,-13.875,-14.375,-14.125,-14,-13.625,-13.25,-13,-12.5,-13,-13.5,-9.875
10/01/2022,-12.875,-11.5,-11.375,-13.375,-12.5,-13.25,-14.25,-14.75,-14.5,-14.25,-13.875,-13.5,-13.25,-13,-13.5,-13.75,-10.25
11/01/2022,-12.25,-10.625,-10.625,-13.25,-12.375,-13,-14,-14.5,-14.25,-14,-13.625,-13.375,-13,-13,-13.625,-14,-10.375
12/01/2022,-11.75,-10.625,-10.625,-13,-12.5,-13.125,-14.125,-14.5,-14.25,-14,-13.625,-13.25,-12.875,-12.875,-13.5,-14.125,-11
13/01/2022,-9.5,-9.375,-9.375,-11.75,-11.875,-12.5,-13.375,-13.5,-13.5,-13.25,-12.875,-12.5,-12.25,-12.25,-12.875,-13.25,-9.875
14/01/2022,-9.25,-9,-9,-11.375,-11.375,-12,-13,-13.125,-13.125,-12.875,-12.5,-12.125,-11.875,-11.875,-12.5,-12.875,-9.5
17/01/2022,-9.25,-9,-9,-11.375,-11.5,-12.125,-13,-13.25,-13.25,-12.875,-12.5,-12.125,-11.875,-11.875,-12.5,-12.875,-9.5
18/01/2022,-10.125,-9.25,-9.25,-11.75,-11.75005,-12.375,-13.25,-13.625,-13.375,-13.25,-12.75,-12.375,-12.125,-12.125,-12.625,-13.625,-10.5
19/01/2022,-10.125,-9.25,-9.25,-11.625,-11.75,-12.375,-13.125,-13.5,-13.25,-13,-12.5,-12.25,-11.875,-12,-12.625,-13.625,-10.49995
20/01/2022,-9.875,-9.375,-9.375,-11.625,-11.75,-12.375,-13,-13.375,-13.125,-12.875,-12.5,-12.125,-11.75,-11.75,-12.5,-13.375,-10.25
21/01/2022,-10.75,-9.125,-9.125,-11.125,-11.375,-12.125,-12.75,-13.125,-12.7501,-12.5,-12.125,-11.75,-11.375,-11.375,-12,-12.875,-9.75
24/01/2022,-11.625,-10,-9.625,-11.75,-11.5,-12,-12.5,-12.875,-12.5,-12.125,-11.75,-11.25005,-10.87505,-10.875,-11.625,-12.5,-9.37495
25/01/2022,-12.75,-10.75,-10.375,-12.25,-12.125,-12.625,-13,-13.375,-12.875,-12.5,-12,-11.5,-11,-11.125,-11.75,-12.625,-9.375
26/01/2022,-12,-11,-10.625,-12.75,-12.25,-13,-13.75,-14,-13.625,-13.25,-12.875,-12.375,-11.875,-11.75,-12.25,-13,-9.75
27/01/2022,-12.625,-11,-10.875,-13,-12.5,-13.375,-14,-14.25,-13.875,-13.5,-13,-12.5,-12,-12,-12.375,-13.125,-10
28/01/2022,-13.125,-11.25,-10.875,-13,-12.625,-13.375,-14,-13.875,-13.625,-13.125,-12.75,-12.25,-11.75,-11.5,-12,-12.625,-9.25
31/01/2022,-13,-11.375,-11.375,-13.375,-13,-13.75,-14.25,-14.375,-14,-13.5,-13.125,-12.625,-12.125,-11.875,-12.25,-12.875,-9.5
01/02/2022,-12.75,-11.375,-11.375,-13.5,-13.375,-14.125,-14.625,-14.75,-14.25,-13.5,-13,-12.5,-12,-11.75,-12.375,-13,-9.625
02/02/2022,-12.375,-11.25,-11.125,-13.5,-13.375,-14.125,-14.625,-14.75,-14.25,-13.625,-13.125,-12.625,-12.125,-11.875,-12.25,-13,-10
03/02/2022,-11.5,-10.875,-11,-13,-13,-13.625,-14.125,-14.25,-13.625,-13,-12.375,-11.875,-11.375,-11.125,-11.875,-12.5,-9.375
04/02/2022,-11.75,-10.75,-10.625,-12.875,-12.875,-13.625,-14.125,-14.125,-13.625,-13,-12.5,-12,-11.5,-11.25,-11.875,-13,-10
07/02/2022,-11.625,-10.5,-10.5,-12.75,-12.5,-13.25,-13.75,-13.625,-13.125,-12.5,-12,-11.5,-11.125,-10.75,-11.375,-12.5,-9.625
08/02/2022,-12.25,-11.375,-11.25,-13.25,-12.875,-13.25,-13.625,-13.625,-13.125,-12.5,-12,-11.375,-10.75,-10.5,-11.125,-12.375,-9.375
09/02/2022,-12,-11.125,-11,-13.125,-12.75,-13.125,-13.5,-13.375,-13,-12.25,-11.75,-11.25,-10.625,-10.375,-11.25,-12.5,-9.625
10/02/2022,-13.375,-11.375,-11.125,-13.25,-12.625,-13,-13.375,-13.125,-12.5,-11.75,-11.25,-10.625,-10,-9.75,-10.5,-11.875,-9.00005
11/02/2022,-14.375,-12.375,-11.75,-13.875,-12.875,-13.25,-13.5,-13.375,-12.875,-12.125,-11.5,-10.875,-10.25,-10,-10.75,-12.125,-9.25
14/02/2022,-15.25,-12.75,-12.125,-14.125,-13,-13.25,-13.5,-13.375,-12.875,-12.125,-11.5,-10.875,-10.25,-9.875,-10.75,-12,-9
15/02/2022,-15.375,-13,-12.125,-14.125,-13.125,-13.375,-13.625,-13.375,-12.875,-12.125,-11.375,-10.75,-10.125,-9.875,-10.625,-11.875,-9
16/02/2022,-14.625,-12.625,-12.125,-14.25,-13.625,-13.625,-14.125,-14.125,-13.625,-12.875,-12.125,-11.5,-10.875,-10.5,-11.125,-12.25,-9.25
17/02/2022,-14.875,-13.125,-12.5,-14.75,-14.25,-14.375,-14.625,-14.625,-14.25,-13.375,-12.625,-11.875,-11.25,-10.625,-11.25,-12.125,-8.875
18/02/2022,-15.75,-13.5,-12.75,-15.125,-14.5,-14.5,-14.875,-14.875,-14.375,-13.5,-12.75,-12,-11.375,-10.75,-11.125,-11.875,-8.75
21/02/2022,-16.625,-14.25,-13.25,-15,-14.375,-14.5,-14.75,-14.75,-14.125,-13.375,-12.5,-11.875,-11.125,-10.375,-11,-11.75,-8.5
22/02/2022,-17.625,-15.125,-14,-15.625,-14.75,-14.625,-14.625,-14.5,-14,-13.125,-12.25,-11.625,-10.875,-9.875,-10.375,-10.25,-7.375
23/02/2022,-17.125,-14.625,-13.5,-14.875,-13.875,-13.875,-13.875,-13.625,-13.125,-12.25,-11.25,-10.375,-9.62505,-9,-9.5,-9.5,-6.625
24/02/2022,-22.375,-18.875,-16.5,-17.625,-15.125,-14.75,-14.625,-14.5,-13.625,-12.75,-11.75,-10.75,-9.875,-9,-9.25,-9.375,-6.5
25/02/2022,-21.375,-18.37505,-16.375,-17.5,-15.25,-15,-14.75,-14.5,-13.625,-12.625,-11.625,-10.875,-10,-9.25,-9.25,-9.75,-7
28/02/2022,-38.25,-27.375,-23.375,-23.5,-19,-18.125,-17.625,-16.75,-15.5,-14.375,-13.25,-12.25,-11.25,-10.625,-10.5,-10.875,-7.75
01/03/2022,-32,-23.875,-21.125,-22,-18.5,-17.62495,-17.25,-16.375,-15.25,-14.125,-13,-12,-11.125,-10.5,-10.875,-11.125,-8.125
02/03/2022,-25.875,-20.25,-18.625,-20,-17.75,-17.125,-17,-16.25,-15,-13.875,-12.875,-11.75,-10.625,-10.25,-10.5,-10.75,-8.125
03/03/2022,-21.75,-18.75,-17.125,-18.75,-16.875,-16.75,-16.375,-16,-14.99995,-14,-12.875,-11.75,-10.75,-10.5,-10.5,-11.125,-8.75
04/03/2022,-33.125,-24.75,-21.125,-22,-18.625,-17.375,-17.125,-16.49995,-15.5,-14.5,-13.375,-12.375,-11.375,-10.875,-11,-11.625,-9.125
07/03/2022,-29.625,-22.75,-19.875,-21.375,-18.375,-17.5,-17.25,-16.375,-15.375,-14.375,-13.375,-12.25,-11.25,-10.75,-10.75,-11.375,-9
08/03/2022,-26.375,-22.125,-20,-21.875,-18.875,-18,-17.75,-16.875,-15.875,-14.875,-13.875,-12.875,-11.75,-11.5,-11.5,-12.125,-9.75
09/03/2022,-22.125,-19.5,-18,-20.25,-18.375,-17.875,-17.5,-16.875,-16,-15.125,-14.25,-13.375,-12.375,-11.625,-11.75,-12.125,-9.75
10/03/2022,-22.5,-20,-18.375,-20.375,-18.625,-18.25,-18.25,-17.625,-16.875,-16,-15.125,-14.25,-13.25,-12.625,-12.875,-13.375,-11
11/03/2022,-23,-19.875,-18.125,-20.125,-18.375,-18.25,-18.25,-17.75,-17.125,-16.375,-15.5,-14.625,-13.75,-13.375,-13.375,-14,-11.5
14/03/2022,-19.5,-18.75,-17.25,-19.75,-18.25,-18.125,-18.25,-18.125,-17.75,-17,-16.25,-15.375,-14.625,-14.25,-14.25,-14.75,-12.375
15/03/2022,-20.296,-18.375,-17.25,-19.75,-18.5,-18.75,-19,-19,-18.625,-17.875,-17,-16.125,-15.5,-15.125,-15.125,-15.625,-13.125
