Date,GBP_EURXCCYOIS_1Y,GBP_EURXCCYOIS_2Y,GBP_EURXCCYOIS_3Y,GBP_EURXCCYOIS_4Y,GBP_EURXCCYOIS_5Y,GBP_EURXCCYOIS_6Y,GBP_EURXCCYOIS_7Y,GBP_EURXCCYOIS_8Y,GBP_EURXCCYOIS_9Y,GBP_EURXCCYOIS_10Y,GBP_EURXCCYOIS_15Y,GBP_EURXCCYOIS_20Y,GBP_EURXCCYOIS_25Y,GBP_EURXCCYOIS_30Y,GBP_EURXCCYOIS_40Y
2017-12-29,17.00,18.88,22.00,24.06,25.94,28.00,29.88,31.25,31.50,32.00,24.75,17.25,15,14.75,21.375
2018-01-01,,,,,,,,,,,,,,,
2018-01-02,18.50,18.44,21.50,23.45,25.45,28.00,29.38,31.37,31.63,31.25,26.00,16.75,14.5,14,21.125
2018-01-03,17.94,19.06,21.75,23.59,25.59,27.38,30.00,30.75,31.13,32.13,25.00,17.50,15.25,14.5,22
2018-01-04,20.88,21.50,22.00,24.23,26.35,27.79,30.50,31.50,32.00,33.00,25.81,18.75,16.375,16.5,23.375
2018-01-05,18.56,19.25,21.63,23.84,26.07,28.30,30.06,31.73,32.34,31.94,25.19,18.13,15.75,15.75,22.375
2018-01-08,19.25,19.69,22.38,24.32,26.18,27.75,30.25,31.38,31.88,32.13,25.38,18.31,16,16,22.375
2018-01-09,21.75,20.06,22.88,24.45,26.31,28.25,30.19,31.75,32.13,31.88,25.69,18.56,16.125,16.5,22.75
2018-01-10,18.75,19.06,21.94,23.59,25.33,28.53,29.31,32.00,32.25,31.13,25.06,17.88,15.75,15.5,22.5
2018-01-11,19.75,18.56,21.31,22.62,24.23,27.55,28.25,31.13,31.39,30.38,23.75,16.75,14.25,14.25,21.125
2018-01-12,16.81,17.94,20.94,22.72,24.46,26.19,28.25,30.02,30.38,30.06,24.75,18.00,14,14.25,20.875
2018-01-15,18.38,17.81,20.75,22.50,24.22,26.38,27.88,29.63,30.00,30.00,24.50,17.75,13.875,13.75,20.75
2018-01-16,19.25,18.81,21.19,22.50,24.12,26.00,27.25,29.25,29.63,29.25,24.25,17.50,13.75,13.75,20.625
2018-01-17,19.25,19.19,21.38,22.63,24.12,26.25,27.25,29.41,29.30,29.13,22.69,15.94,13.25,13.25,20.125
2018-01-18,19.25,18.81,21.25,22.49,23.98,25.75,27.13,28.88,29.25,28.81,22.31,15.50,12.875,12.75,19.75
2018-01-19,19.88,19.75,22.50,23.59,25.20,25.88,28.38,28.50,29.00,30.00,23.19,16.25,13.5,13.75,20.625
2018-01-22,19.44,19.81,21.88,23.47,24.96,27.03,27.63,29.50,29.99,29.19,22.75,15.63,12.75,13,19.875
2018-01-23,17.81,18.56,21.63,22.97,24.46,26.31,27.38,28.62,29.11,28.75,22.25,15.13,12.125,12.5,19.375
2018-01-24,17.19,18.69,22.19,23.80,25.29,26.15,28.00,28.37,28.50,29.38,23.00,15.88,12.875,13,20.125
2018-01-25,19.25,19.25,22.19,23.79,25.39,27.13,28.00,29.28,29.50,29.25,22.75,15.81,12.875,13.25,19.75
2018-01-26,19.88,21.00,22.50,23.81,25.29,26.88,28.13,29.25,29.38,29.38,25.00,18.00,13.5,13.5,19.875
2018-01-29,20.50,19.44,22.63,23.95,25.18,27.13,28.13,29.47,29.05,29.38,23.13,16.00,13.375,13.5,19.75
2018-01-30,18.69,19.50,22.44,23.70,25.17,26.75,27.88,29.22,28.92,29.31,23.19,16.06,13.375,13.5,19.75
2018-01-31,20.25,21.00,22.88,24.08,25.55,26.75,28.25,29.00,29.50,29.88,23.38,16.19,13.25,13.5,19.875
2018-02-01,18.56,19.63,22.50,23.71,25.19,26.75,27.69,29.17,29.78,29.25,22.38,15.13,12.5,11.75,18.75
2018-02-02,19.38,20.00,21.63,23.08,24.55,26.89,27.00,29.16,29.72,28.19,20.94,13.50,10.875,10.5,17.375
2018-02-05,16.69,17.63,21.25,22.58,23.93,26.01,26.38,28.04,28.40,27.63,20.19,12.50,9.875,9.75,16.25
2018-02-06,18.50,18.06,21.13,23.04,24.39,25.63,26.94,27.21,27.30,28.50,21.00,13.31,10.5,10.25,16.875
2018-02-07,15.88,17.06,20.63,22.54,24.13,25.92,26.75,27.88,28.25,27.88,20.25,12.63,9.875,9.5,16
2018-02-08,18.38,17.25,20.38,22.09,23.55,25.37,26.25,27.28,27.63,27.13,19.50,11.75,8.5,8.75,14.75
2018-02-09,16.00,17.06,19.69,22.02,23.84,24.64,26.00,26.63,27.13,26.88,19.50,11.94,9,9.25,15.25
2018-02-12,18.50,17.19,20.50,22.41,24.23,25.50,26.38,27.13,27.88,27.25,19.50,12.13,9.25,9.25,15.625
2018-02-13,17.25,17.25,20.50,22.31,24.25,25.88,26.63,27.25,28.00,27.75,20.38,12.75,9.75,9.75,15.75
2018-02-14,15.88,17.13,20.13,22.56,24.50,25.88,27.13,27.75,28.38,27.94,20.69,13.06,10.25,10.25,16.25
2018-02-15,18.32,18.95,20.51,22.69,24.63,25.82,27.50,27.75,28.38,28.40,22.62,15.01,10.5876,10.5741,15.875
2018-02-16,18.30,19.17,20.66,22.67,24.62,26.18,27.73,28.22,28.41,28.52,22.74,15.12,10.7049,10.6959,16.25
2018-02-19,18.05,19.41,21.05,23.05,24.74,26.30,27.62,28.44,28.55,28.65,22.97,15.23,10.9308,10.9272,16.25
2018-02-20,18.82,19.30,20.69,22.79,24.50,26.57,27.38,28.71,28.81,28.41,22.61,14.73,10.4335,10.4404,15.625
2018-02-21,17.50,18.65,20.17,22.26,24.09,26.25,26.97,28.38,28.48,27.99,22.41,14.64,10.2241,10.2335,15.75
2018-02-22,15.00,18.29,19.68,21.65,23.59,25.77,26.23,27.90,28.00,27.24,21.66,14.12,9.7038,9.7176,15.125
2018-02-23,17.13,17.91,19.06,20.90,23.07,25.02,25.58,27.02,27.23,26.58,21.12,13.59,9.1718,9.1844,14.125
2018-02-26,16.25,17.79,19.05,20.76,22.94,25.00,25.80,26.98,27.19,26.80,21.46,13.68,9.2611,9.5136,14.125
2018-02-27,16.75,18.02,19.27,20.99,23.04,24.12,25.90,25.99,26.20,26.89,21.43,13.77,9.5883,9.7226,14.5
2018-02-28,18.75,19.74,20.99,22.44,24.37,24.59,27.46,26.59,26.80,28.81,23.34,15.93,11.74985,11.8945,17
2018-03-01,19.25,19.89,20.76,22.34,24.38,26.29,27.71,28.64,28.97,29.17,23.82,16.41,12.2328,12.3793,17.375
2018-03-02,18.13,19.77,20.52,22.10,24.14,26.29,27.23,28.64,29.20,28.70,23.59,16.18,12.0009,12.1502,17.375
2018-03-05,18.75,19.51,20.26,21.84,23.88,25.79,26.97,28.14,28.70,28.44,23.55,16.14,11.9642,12.0995,17.25
2018-03-06,17.75,18.87,19.87,21.44,23.48,25.51,26.80,27.86,28.42,28.37,23.94,16.76,12.5868,12.72,18.125
2018-03-07,18.50,19.13,19.86,21.19,23.23,25.26,26.79,27.85,28.41,28.35,24.15,17.33,13.1525,13.2788,18.375
2018-03-08,19.13,19.34,20.32,21.64,23.67,24.76,27.22,27.58,28.14,29.01,24.79,18.20,14.018,14.1406,20.625
2018-03-09,18.13,18.45,19.54,20.74,22.64,25.55,26.18,28.35,28.86,28.19,24.32,17.94,13.7603,14.0956,20.375
2018-03-12,17.81,19.52,20.73,22.16,24.17,24.66,27.44,27.46,28.20,29.77,26.00,19.62,15.3069,15.7647,21.125
2018-03-13,19.75,19.77,20.96,22.39,24.27,26.03,27.78,29.04,29.93,30.22,26.31,19.94,15.757,16.1007,21.875
2018-03-14,20.50,19.68,20.04,21.23,22.90,25.69,25.95,28.70,29.48,28.55,24.69,18.55,14.4997,14.6427,20.5
2018-03-15,19.56,20.55,21.15,22.23,23.89,24.68,27.43,27.95,28.74,29.90,26.03,19.53,15.3603,15.7185,21.875
2018-03-16,20.75,21.12,21.73,22.57,24.00,25.91,27.19,28.95,29.73,29.80,25.93,19.44,15.2649,15.6322,21.375
2018-03-19,18.63,21.50,22.11,22.95,24.26,25.65,27.57,28.57,29.35,30.17,26.30,19.81,15.6355,16.0019,21.75
2018-03-20,19.13,21.36,22.22,23.18,24.37,26.04,27.68,28.94,29.73,30.27,26.39,20.02,15.8468,16.1985,22.25
2018-03-21,20.25,22.38,23.24,24.32,25.50,26.31,28.31,28.96,29.74,30.76,26.86,20.48,16.3085,16.6519,22.125
2018-03-22,22.38,23.25,23.52,24.48,25.55,26.71,28.13,29.28,30.06,30.60,26.73,20.36,16.1961,16.5663,22.125
2018-03-23,20.00,22.34,23.07,24.15,25.22,26.53,27.94,29.09,29.88,30.42,26.55,20.19,16.0214,16.3864,21.875
2018-03-26,21.50,22.19,23.17,24.37,25.56,26.49,28.27,29.17,29.95,30.74,26.87,20.50,16.3355,16.7007,22.375
2018-03-27,19.56,21.31,22.29,23.86,25.77,26.86,28.60,29.40,30.18,31.07,27.54,21.17,16.9956,17.3514,23.375
2018-03-28,20.38,21.25,21.82,23.88,26.04,27.20,29.09,29.75,30.53,31.56,28.26,21.89,17.7246,18.0902,24.125
2018-03-29,18.38,19.64,21.48,23.55,25.59,28.25,28.52,31.13,32.01,31.23,27.95,21.58,17.4208,17.7979,23.875
2018-03-30,17.50,19.64,21.48,23.55,25.59,27.13,28.52,29.91,30.69,31.24,27.95,21.59,17.4252,17.8055,23.875
2018-04-02,17.50,19.64,21.48,23.55,25.59,27.13,28.52,29.91,30.69,31.24,27.95,21.59,17.4251,17.8055,23.875
