date,eur1m,eur3m,eur6m,eur1y,eur2y,eur3y,eur4y,eur5y,eur7y,eur10y,eur30y
2020-11-02,-0.54,-0.52,-0.513,-0.529,-0.544,-0.53925,-0.5189,-0.489,-0.4099,-0.2707,-0.0423
2020-11-03,-0.54,-0.52,-0.513,-0.5275,-0.53925,-0.533,-0.50875,-0.4764,-0.39475,-0.254,-0.0253
2020-11-04,-0.55,-0.517,-0.515,-0.5278,-0.5409,-0.5355,-0.5145,-0.48415,-0.4075,-0.27155,-0.0411
2020-11-05,-0.547,-0.517,-0.511,-0.5256,-0.5393,-0.53435,-0.5143,-0.486,-0.4107,-0.2753,-0.03625
2020-11-06,-0.533,-0.513,-0.512,-0.5273,-0.54115,-0.53625,-0.514,-0.48305,-0.40455,-0.2657,-0.015
2020-11-09,-0.539,-0.516,-0.511,-0.5133,-0.5142,-0.5021,-0.4719,-0.4326,-0.3426,-0.1921,0.0753
2020-11-10,-0.527,-0.51,-0.505,-0.509,-0.5063,-0.4909,-0.459,-0.4187,-0.3257,-0.1711,0.10425
2020-11-11,-0.537,-0.518,-0.507,-0.5091,-0.5062,-0.49125,-0.4623,-0.4254,-0.335,-0.1841,0.0904
2020-11-12,-0.542,-0.513,-0.504,-0.5095,-0.5098,-0.498,-0.4733,-0.43975,-0.3565,-0.2119,0.0535
2020-11-13,-0.533,-0.514,-0.503,-0.51275,-0.5174,-0.50765,-0.482,-0.4484,-0.3656,-0.221,0.0464
2020-11-16,-0.537,-0.522,-0.505,-0.5135,-0.5169,-0.506,-0.479,-0.445,-0.3635,-0.2212,0.0395
2020-11-17,-0.552,-0.522,-0.508,-0.5156,-0.518,-0.50775,-0.483,-0.452,-0.37325,-0.2331,0.0225
2020-11-18,-0.546,-0.527,-0.513,-0.5196,-0.5215,-0.5101,-0.4849,-0.4516,-0.37125,-0.2296,0.02475
2020-11-19,-0.556,-0.527,-0.512,-0.5204,-0.524,-0.5135,-0.489,-0.457,-0.379,-0.2417,0.0082
2020-11-20,-0.543,-0.528,-0.509,-0.52055,-0.5285,-0.51925,-0.4965,-0.466,-0.389,-0.25125,0.004
2020-11-23,-0.542,-0.523,-0.509,-0.5181,-0.5213,-0.511,-0.489,-0.4579,-0.381,-0.2439,0.01625
2020-11-24,-0.537,-0.523,-0.51,-0.5182,-0.5202,-0.5085,-0.4849,-0.453,-0.375,-0.237,0.0199
2020-11-25,-0.533,-0.526,-0.508,-0.51575,-0.51825,-0.507,-0.4845,-0.4543,-0.3789,-0.2429,0.00875
2020-11-26,-0.539,-0.528,-0.506,-0.5162,-0.5195,-0.50935,-0.4886,-0.4607,-0.3876,-0.255,-0.00505
2020-11-27,-0.546,-0.528,-0.507,-0.5166,-0.518,-0.5078,-0.4873,-0.4591,-0.3874,-0.2541,-0.007
2020-11-30,-0.551,-0.526,-0.508,-0.5173,-0.519,-0.50925,-0.4874,-0.4585,-0.38675,-0.255,-0.00815
2020-12-01,-0.548,-0.526,-0.508,-0.5145,-0.5133,-0.4998,-0.4745,-0.442,-0.36575,-0.22925,0.0185
2020-12-02,-0.548,-0.524,-0.508,-0.5153,-0.51475,-0.5006,-0.4743,-0.44075,-0.3621,-0.225,0.0271
2020-12-03,-0.539,-0.527,-0.51,-0.5185,-0.5207,-0.50825,-0.4838,-0.45025,-0.3721,-0.2349,0.01875
2020-12-04,-0.545,-0.532,-0.512,-0.5245,-0.5285,-0.516,-0.4896,-0.4555,-0.3715,-0.2291,0.03105
2020-12-07,-0.55,-0.534,-0.513,-0.5302,-0.5385,-0.5295,-0.506,-0.47375,-0.3937,-0.255,0.00405
2020-12-08,-0.549,-0.536,-0.518,-0.5349,-0.5445,-0.537,-0.516,-0.4876,-0.413,-0.2786,-0.024
2020-12-09,-0.552,-0.545,-0.524,-0.539,-0.5459,-0.537,-0.515,-0.4852,-0.4093,-0.2752,-0.018
2020-12-10,-0.573,-0.546,-0.523,-0.5369,-0.545,-0.53625,-0.5164,-0.4879,-0.41495,-0.2819,-0.0314
2020-12-11,-0.554,-0.543,-0.52,-0.539,-0.5495,-0.5425,-0.5245,-0.4988,-0.433,-0.30795,-0.08265
2020-12-14,-0.573,-0.543,-0.522,-0.538,-0.5487,-0.541,-0.5215,-0.4938,-0.4239,-0.2943,-0.06675
2020-12-15,-0.57,-0.544,-0.52,-0.536,-0.54415,-0.5371,-0.51775,-0.49015,-0.421,-0.293,-0.062
2020-12-16,-0.575,-0.54,-0.525,-0.5305,-0.5315,-0.51895,-0.4945,-0.46475,-0.3935,-0.264,-0.03165
2020-12-17,-0.582,-0.541,-0.518,-0.526,-0.529,-0.5179,-0.4973,-0.47,-0.39925,-0.26975,-0.03245
2020-12-18,-0.56,-0.537,-0.52,-0.5234,-0.52275,-0.51,-0.4865,-0.45785,-0.3895,-0.2618,-0.02415
2020-12-21,-0.563,-0.532,-0.518,-0.5226,-0.5233,-0.5105,-0.48875,-0.4604,-0.391,-0.263,-0.033
2020-12-22,-0.574,-0.539,-0.522,-0.5223,-0.5187,-0.5051,-0.48425,-0.4583,-0.39225,-0.2665,-0.0425
2020-12-23,-0.573,-0.541,-0.521,-0.51695,-0.507,-0.48875,-0.465,-0.437,-0.3655,-0.235,-0.00775
2020-12-24,-0.568,-0.542,-0.519,-0.5159,-0.507,-0.489,-0.465,-0.436,-0.367,-0.239,-0.01375
2020-12-28,-0.568,-0.542,-0.52,-0.5164,-0.508,-0.492,-0.4725,-0.4468,-0.3795,-0.2515,-0.01775
2020-12-29,-0.555,-0.538,-0.523,-0.5238,-0.5183,-0.50425,-0.4825,-0.4555,-0.3865,-0.25825,-0.0239
2020-12-30,-0.562,-0.541,-0.52,-0.52525,-0.5211,-0.5065,-0.4849,-0.4587,-0.3874,-0.256,-0.019
2020-12-31,-0.554,-0.545,-0.526,-0.529,-0.521,-0.506,-0.485,-0.459,-0.389,-0.2605,-0.0225
2021-01-04,-0.57,-0.546,-0.532,-0.53925,-0.54075,-0.52775,-0.50675,-0.48125,-0.414,-0.2874,-0.0455
2021-01-05,-0.573,-0.552,-0.524,-0.5374,-0.542,-0.53,-0.5072,-0.47925,-0.40605,-0.274,-0.026
2021-01-06,-0.567,-0.556,-0.53,-0.5365,-0.53425,-0.518,-0.4892,-0.4555,-0.378,-0.242,0.009
2021-01-07,-0.563,-0.554,-0.524,-0.5313,-0.52915,-0.5139,-0.4855,-0.45125,-0.36975,-0.2289,0.033
2021-01-08,-0.555,-0.55,-0.53,-0.53075,-0.5248,-0.50975,-0.483,-0.45,-0.36975,-0.23,0.029
2021-01-11,-0.548,-0.545,-0.523,-0.5268,-0.5231,-0.5061,-0.4765,-0.4405,-0.35475,-0.21,0.05675
2021-01-12,-0.553,-0.549,-0.53,-0.52575,-0.513,-0.48975,-0.4565,-0.417,-0.328,-0.1817,0.08425
2021-01-13,-0.563,-0.545,-0.527,-0.5268,-0.52175,-0.5044,-0.47625,-0.44325,-0.3639,-0.228,0.028
2021-01-14,-0.564,-0.55,-0.533,-0.535,-0.531,-0.51625,-0.4925,-0.4615,-0.3815,-0.2445,0.014
2021-01-15,-0.557,-0.552,-0.532,-0.53625,-0.53325,-0.5175,-0.49025,-0.457,-0.3751,-0.2345,0.03025
2021-01-18,-0.567,-0.553,-0.533,-0.53625,-0.53175,-0.51375,-0.48445,-0.44875,-0.36625,-0.225,0.045
2021-01-19,-0.561,-0.548,-0.528,-0.5325,-0.52825,-0.5095,-0.48,-0.4445,-0.363,-0.2235,0.04525
2021-01-20,-0.559,-0.543,-0.532,-0.53225,-0.52685,-0.50825,-0.47925,-0.4435,-0.3612,-0.222,0.05025
2021-01-21,-0.561,-0.543,-0.527,-0.5275,-0.5175,-0.4963,-0.464,-0.4253,-0.3365,-0.19,0.09725
2021-01-22,-0.557,-0.54,-0.525,-0.5245,-0.5181,-0.4981,-0.46975,-0.4332,-0.3455,-0.2,0.0822
2021-01-25,-0.554,-0.543,-0.521,-0.5281,-0.527,-0.51125,-0.485,-0.4515,-0.369,-0.22875,0.05
2021-01-26,-0.563,-0.539,-0.528,-0.531,-0.5259,-0.50675,-0.47725,-0.43975,-0.3532,-0.208,0.0795
2021-01-27,-0.567,-0.543,-0.526,-0.5381,-0.53715,-0.519,-0.4925,-0.457,-0.3665,-0.2165,0.08125
2021-01-28,-0.568,-0.544,-0.534,-0.5475,-0.54725,-0.52775,-0.49535,-0.4555,-0.3615,-0.207,0.094
2021-01-29,-0.571,-0.548,-0.531,-0.53875,-0.534,-0.512,-0.47775,-0.43575,-0.3405,-0.183,0.1247
2021-02-01,-0.56,-0.543,-0.528,-0.538,-0.53495,-0.5133,-0.48075,-0.43925,-0.344,-0.1866,0.118
2021-02-02,-0.563,-0.54,-0.526,-0.535,-0.5303,-0.50735,-0.47275,-0.4278,-0.328,-0.1673,0.14125
2021-02-03,-0.568,-0.545,-0.521,-0.5285,-0.52335,-0.49815,-0.45975,-0.4135,-0.3102,-0.1475,0.176
2021-02-04,-0.568,-0.543,-0.525,-0.53015,-0.5225,-0.4955,-0.454,-0.405,-0.299,-0.1332,0.1994
2021-02-05,-0.554,-0.535,-0.519,-0.5235,-0.51625,-0.48765,-0.44695,-0.3966,-0.28725,-0.118,0.22
2021-02-08,-0.548,-0.536,-0.521,-0.5225,-0.51425,-0.4865,-0.44625,-0.39725,-0.2885,-0.119,0.2263
2021-02-09,-0.551,-0.54,-0.523,-0.525,-0.5185,-0.4925,-0.453,-0.40625,-0.296,-0.125,0.22225
2021-02-10,-0.55,-0.541,-0.522,-0.52475,-0.51755,-0.4908,-0.449,-0.399,-0.2849,-0.109,0.2462
2021-02-11,-0.548,-0.541,-0.521,-0.525,-0.5195,-0.49425,-0.45645,-0.4095,-0.2999,-0.1256,0.23
2021-02-12,-0.553,-0.547,-0.522,-0.52475,-0.515,-0.4877,-0.4455,-0.39475,-0.27925,-0.097,0.28475
2021-02-15,-0.553,-0.547,-0.521,-0.52075,-0.51025,-0.47825,-0.4305,-0.3725,-0.24925,-0.05875,0.3305
2021-02-16,-0.55,-0.543,-0.52,-0.5175,-0.5035,-0.471,-0.41675,-0.35325,-0.218,-0.0175,0.37975
2021-02-17,-0.552,-0.545,-0.521,-0.5185,-0.5065,-0.475,-0.425,-0.365,-0.2345,-0.038,0.34925
2021-02-18,-0.548,-0.543,-0.518,-0.51575,-0.5025,-0.4665,-0.4105,-0.345,-0.21155,-0.0125,0.36
2021-02-19,-0.553,-0.543,-0.517,-0.51325,-0.4982,-0.46,-0.40175,-0.3345,-0.19125,0.0135,0.39125
2021-02-22,-0.55,-0.543,-0.516,-0.5125,-0.50125,-0.46575,-0.4125,-0.3504,-0.216,-0.0205,0.35155
2021-02-23,-0.55,-0.54,-0.517,-0.51065,-0.49725,-0.4605,-0.4045,-0.3388,-0.2011,-0.0025,0.3734
2021-02-24,-0.549,-0.539,-0.518,-0.513,-0.49785,-0.45865,-0.4002,-0.334,-0.195,0.00545,0.3909
2021-02-25,-0.553,-0.538,-0.518,-0.502,-0.46875,-0.41625,-0.3486,-0.2737,-0.13025,0.072,0.42875
2021-02-26,-0.547,-0.53,-0.516,-0.49635,-0.4614,-0.4135,-0.353,-0.286,-0.1455,0.0528,0.382
2021-03-01,-0.553,-0.533,-0.508,-0.50295,-0.48625,-0.4515,-0.40275,-0.345,-0.2152,-0.02345,0.32025
2021-03-02,-0.548,-0.54,-0.516,-0.51125,-0.4939,-0.46,-0.4119,-0.3565,-0.225,-0.0321,0.3299
2021-03-03,-0.56,-0.546,-0.517,-0.51,-0.4864,-0.44775,-0.393,-0.3275,-0.187,0.0175,0.396
2021-03-04,-0.56,-0.541,-0.518,-0.51045,-0.4886,-0.45225,-0.4,-0.33775,-0.198,0.00675,0.38925
2021-03-05,-0.554,-0.537,-0.514,-0.50835,-0.48475,-0.445,-0.3896,-0.3246,-0.1835,0.022,0.397
2021-03-08,-0.548,-0.537,-0.515,-0.5065,-0.4791,-0.4364,-0.37475,-0.3049,-0.1619,0.04475,0.4175
2021-03-09,-0.557,-0.54,-0.518,-0.5065,-0.479,-0.43675,-0.3787,-0.313,-0.1735,0.02725,0.39845
2021-03-10,-0.553,-0.543,-0.52,-0.50815,-0.48235,-0.44185,-0.38485,-0.3196,-0.18195,0.01695,0.3777
2021-03-11,-0.561,-0.542,-0.518,-0.5094,-0.4876,-0.44895,-0.3948,-0.3318,-0.19445,0.0033,0.38475
2021-03-12,-0.548,-0.539,-0.514,-0.50715,-0.4839,-0.44055,-0.38035,-0.31175,-0.16355,0.04795,0.44355
2021-03-15,-0.556,-0.538,-0.515,-0.5109,-0.49245,-0.456,-0.4044,-0.34345,-0.2003,0.0074,0.41245
2021-03-16,-0.563,-0.542,-0.52,-0.5162,-0.499,-0.46315,-0.4101,-0.3476,-0.2046,0.0029,0.40585
2021-03-17,-0.553,-0.543,-0.52,-0.51345,-0.4934,-0.45115,-0.3917,-0.32215,-0.1685,0.0508,0.4638
