date,sofr1m,sofr3m,sofr6m,sofr1y,sofr2y,sofr3y,sofr4y,sofr5y,sofr7y,sofr10y,sofr30y
2020-11-02,0.083,0.0819,0.0765,0.06665,0.054,0.07175,0.1265,0.20545,0.3855,0.60855,0.99655
2020-11-03,0.0882,0.087,0.08,0.07015,0.0614,0.08345,0.1444,0.231,0.422,0.65625,1.0509
2020-11-04,0.08985,0.08625,0.0805,0.07,0.04965,0.05925,0.10035,0.17,0.33985,0.553,0.9545
2020-11-05,0.0924,0.091,0.0815,0.0705,0.05595,0.07325,0.11975,0.19,0.36,0.5805,0.97975
2020-11-06,0.0965,0.0852,0.0825,0.07485,0.064,0.0823,0.138,0.213,0.38665,0.607,1.00305
2020-11-09,0.087,0.08545,0.084,0.0831,0.08395,0.115,0.18895,0.2835,0.48465,0.73045,1.15465
2020-11-10,0.0915,0.09,0.0835,0.07885,0.082,0.11325,0.18335,0.279,0.477,0.71745,1.1395
2020-11-11,0.0895,0.09,0.084,0.0819,0.074,0.108,0.189,0.288,0.491,0.965,1.142
2020-11-12,0.0885,0.088,0.083,0.077,0.0801,0.10435,0.16055,0.24325,0.4289,0.662,1.08
2020-11-13,0.085,0.08885,0.082,0.07495,0.0752,0.1019,0.1555,0.2354,0.4149,0.645,1.0484
2020-11-16,0.0855,0.0857,0.0818,0.077,0.081,0.11,0.1673,0.25,0.43015,0.6625,1.0746
2020-11-17,0.083,0.0868,0.08145,0.0768,0.076,0.09995,0.15075,0.2265,0.406,0.6335,1.03605
2020-11-18,0.08,0.0824,0.0789,0.075,0.0797,0.10435,0.15855,0.23795,0.412,0.63435,1.036
2020-11-19,0.0796,0.075,0.07215,0.069,0.074,0.09995,0.15465,0.229,0.40375,0.62315,1.01175
2020-11-20,0.069,0.06955,0.0645,0.06195,0.0676,0.096,0.15295,0.2288,0.39395,0.6071,0.9906
2020-11-23,0.0705,0.07005,0.0665,0.0642,0.072,0.10215,0.16,0.24,0.40635,0.6207,0.99375
2020-11-24,0.0668,0.0701,0.0665,0.065,0.074,0.10465,0.16505,0.24605,0.42165,0.645,1.0268
2020-11-25,0.064,0.06945,0.068,0.06575,0.07065,0.09645,0.1548,0.2327,0.414,0.6405,1.03975
2020-11-26,0.073,0.072,0.069,0.0665,0.067,0.1015,0.161,0.243,0.424,0.652,1.054
2020-11-27,0.078,0.0714,0.069,0.06615,0.07115,0.0955,0.15015,0.22675,0.399,0.62055,1.015
2020-11-30,0.07675,0.0711,0.068,0.06765,0.07135,0.0955,0.14685,0.22415,0.39985,0.624,1.0154
2020-12-01,0.077,0.07,0.0675,0.0695,0.0844,0.1235,0.1941,0.2815,0.4726,0.7075,1.1166
2020-12-02,0.07675,0.073,0.06975,0.0694,0.0832,0.1192,0.1895,0.28265,0.4854,0.732,1.16075
2020-12-03,0.0733,0.0718,0.067,0.066,0.08035,0.11795,0.185,0.2745,0.4695,0.71,1.13455
2020-12-04,0.0785,0.0684,0.0645,0.0642,0.0833,0.125,0.19705,0.29685,0.5054,0.759,1.1996
2020-12-07,0.068,0.0627,0.0595,0.06,0.07435,0.104,0.16765,0.255,0.45445,0.70235,1.14215
