date,sonia1m,sonia3m,sonia6m,sonia1y,sonia2y,sonia3y,sonia4y,sonia5y,sonia7y,sonia10y,sonia30y
2020-11-02,0.052,0.045,0.022,-0.017,-0.055,-0.058,-0.04,-0.013,0.057,0.166,0.338
2020-11-03,0.051,0.046,0.024,-0.014,-0.045,-0.043,-0.018,0.018,0.099,0.218,0.395
2020-11-04,0.05,0.044,0.022,-0.017,-0.058,-0.064,-0.046,-0.019,0.049,0.155,0.316
2020-11-05,0.053,0.048,0.029,-0.01,-0.049,-0.054,-0.033,-0.003,0.068,0.177,0.344
2020-11-06,0.053,0.048,0.03,-0.007,-0.043,-0.044,-0.02,0.014,0.094,0.21,0.391
2020-11-09,0.053,0.05,0.036,0.011,-0.013,-0.003,0.035,0.083,0.179,0.315,0.516
2020-11-10,0.053,0.05,0.036,0.014,-0.007,0.006,0.043,0.09,0.185,0.317,0.519
2020-11-11,0.053,0.049,0.04,0.02,0.0,0.015,0.052,0.1,0.199,0.332,0.539
2020-11-12,0.053,0.048,0.036,0.012,-0.015,-0.008,0.022,0.061,0.145,0.269,0.463
2020-11-13,0.053,0.048,0.038,0.014,-0.011,-0.004,0.026,0.064,0.144,0.261,0.451
2020-11-16,0.053,0.047,0.038,0.015,-0.011,-0.003,0.028,0.066,0.149,0.27,0.463
2020-11-17,0.053,0.047,0.037,0.013,-0.015,-0.01,0.019,0.056,0.136,0.255,0.439
2020-11-18,0.053,0.048,0.039,0.017,-0.009,-0.003,0.027,0.063,0.145,0.264,0.451
2020-11-19,0.053,0.048,0.038,0.015,-0.009,-0.002,0.026,0.063,0.14,0.256,0.446
2020-11-20,0.053,0.048,0.037,0.013,-0.013,-0.009,0.016,0.05,0.124,0.235,0.423
2020-11-23,0.053,0.048,0.039,0.017,-0.006,0.001,0.027,0.062,0.141,0.259,0.45
2020-11-24,0.053,0.048,0.039,0.018,-0.005,0.001,0.028,0.064,0.142,0.26,0.446
2020-11-25,0.053,0.049,0.039,0.019,-0.003,0.002,0.027,0.06,0.134,0.248,0.429
2020-11-26,0.053,0.048,0.039,0.017,-0.01,-0.008,0.013,0.042,0.109,0.218,0.393
2020-11-27,0.053,0.049,0.038,0.015,-0.01,-0.006,0.017,0.049,0.118,0.228,0.397
2020-11-30,0.053,0.048,0.038,0.015,-0.011,-0.005,0.019,0.051,0.124,0.235,0.403
2020-12-01,0.052,0.048,0.041,0.025,0.006,0.016,0.046,0.083,0.163,0.283,0.457
2020-12-02,0.052,0.048,0.038,0.019,-0.002,0.007,0.038,0.076,0.16,0.282,0.461
2020-12-03,0.052,0.047,0.037,0.02,-0.001,0.007,0.036,0.072,0.15,0.266,0.446
2020-12-04,0.052,0.046,0.035,0.017,-0.006,0.0,0.03,0.069,0.154,0.277,0.461
2020-12-07,0.047,0.037,0.023,-0.003,-0.038,-0.036,-0.009,0.026,0.103,0.216,0.393
2020-12-08,0.046,0.036,0.021,-0.005,-0.04,-0.04,-0.017,0.014,0.085,0.191,0.353
2020-12-09,0.047,0.038,0.024,-0.001,-0.037,-0.037,-0.015,0.016,0.086,0.194,0.355
2020-12-10,0.042,0.029,0.011,-0.019,-0.061,-0.067,-0.047,-0.019,0.045,0.145,0.292
2020-12-11,0.041,0.023,0.003,-0.029,-0.067,-0.073,-0.056,-0.031,0.025,0.12,0.252
2020-12-14,0.047,0.034,0.017,-0.009,-0.042,-0.044,-0.025,0.003,0.066,0.167,0.306
2020-12-15,0.047,0.039,0.027,0.008,-0.016,-0.013,0.009,0.04,0.104,0.206,0.355
2020-12-16,0.046,0.042,0.033,0.02,-0.006,-0.004,0.017,0.046,0.114,0.215,0.377
2020-12-17,0.043,0.039,0.03,0.014,-0.009,-0.003,0.018,0.047,0.114,0.215,0.366
2020-12-18,0.042,0.037,0.027,0.005,-0.021,-0.018,0.004,0.032,0.1,0.2,0.352
2020-12-21,0.04,0.028,0.013,-0.016,-0.05,-0.051,-0.028,0.001,0.068,0.17,0.319
2020-12-22,0.043,0.032,0.016,-0.016,-0.057,-0.064,-0.045,-0.02,0.046,0.147,0.295
2020-12-23,0.044,0.038,0.027,0.008,-0.014,-0.004,0.025,0.06,0.141,0.256,0.425
2020-12-24,0.045,0.037,0.027,0.008,-0.019,-0.013,0.011,0.041,0.11,0.215,0.376
2020-12-28,0.045,0.037,0.027,0.008,-0.019,-0.013,0.011,0.041,0.11,0.215,0.376
2020-12-29,0.045,0.033,0.022,-0.001,-0.033,-0.031,-0.012,0.013,0.076,0.175,0.33
2020-12-30,0.046,0.038,0.025,-0.002,-0.037,-0.037,-0.016,0.013,0.077,0.179,0.333
2020-12-31,0.046,0.036,0.023,-0.007,-0.047,-0.05,-0.032,-0.008,0.054,0.154,0.303
2021-01-04,0.046,0.029,0.01,-0.026,-0.074,-0.078,-0.058,-0.031,0.037,0.142,0.294
2021-01-05,0.045,0.023,0.001,-0.035,-0.077,-0.079,-0.056,-0.026,0.046,0.158,0.321
2021-01-06,0.044,0.033,0.008,-0.03,-0.07,-0.067,-0.039,-0.003,0.073,0.19,0.364
2021-01-07,0.044,0.03,0.006,-0.028,-0.061,-0.052,-0.019,0.021,0.109,0.236,0.432
